"","CNV","sex","estimate","se","ci_lower","ci_upper","z","p"
"1","13q12.12_DUP","male","0.0414029312848332","0.0979016846848163","-0.150484370697407","0.233290233267073","0.422903154507763","0.672366688577594"
"2","13q12.12_DUP","female","-0.0744750620716903","0.110112339975238","-0.290295248423157","0.141345124279776","-0.676355275788692","0.498816246127279"
"3","15q11.2__BP1_BP2_CYFIP_DEL","male","-0.0209287846647895","0.0353391683177171","-0.090193554567515","0.048335985237936","-0.592226293404221","0.553700194618385"
"4","15q11.2__BP1_BP2_CYFIP_DEL","female","0.147224233756233","0.0411464529451688","0.0665771859837023","0.227871281528764","3.57805407801304","0.000346281042386867"
"5","15q11.2__BP1_BP2_CYFIP_DUP","male","0.0884341776630934","0.0354976655069275","0.0188587532695156","0.158009602056671","2.49126742280659","0.0127301843545893"
"6","15q11.2__BP1_BP2_CYFIP_DUP","female","0.0859463650869493","0.0386679570974787","0.010157169175891","0.161735560998008","2.22267664335837","0.0262392358929504"
"7","15q13.3_inclCHRNA7_DEL","male","0.330137976704749","0.221407704117085","-0.103821123364739","0.764097076774236","1.49108622042422","0.13594152137085"
"8","15q13.3_inclCHRNA7_DEL","female","0.73691505765215","0.28523807565829","0.1778484293619","1.2959816859424","2.58350872670646","0.00978112392328484"
"9","15q13.3_inclCHRNA7_DUP","male","-0.000790169375962543","0.0844323661851592","-0.166277607098875","0.16469726834695","-0.00935860750638813","0.992533036311365"
"10","15q13.3_inclCHRNA7_DUP","female","0.342067083346216","0.122445098991283","0.102074689323301","0.582059477369132","2.79363638205371","0.00521262715139171"
"11","16p11.2_distal_DUP","male","-0.286767356587083","0.140868855230996","-0.562870312839835","-0.0106644003343318","-2.03570445799992","0.0417822609165063"
"12","16p11.2_distal_DUP","female","-0.263366990404004","0.141373258556664","-0.540458577175065","0.0137245963670567","-1.86291943110616","0.062475738532817"
"13","16p11.2_proximal_DEL","male","0.963023283127759","0.130400990400052","0.707437341943657","1.21860922431186","7.38509178629194","1.53341996602267e-13"
"14","16p11.2_proximal_DEL","female","1.51314447825417","0.164655547638082","1.19041960488353","1.83586935162481","9.18975704104494","3.99001351906775e-20"
"15","16p11.2_proximal_DUP","male","-0.362050032914529","0.121976879968117","-0.601124717652038","-0.12297534817702","-2.96818571690934","0.00299623148450134"
"16","16p11.2_proximal_DUP","female","-0.202972574608426","0.137771370849098","-0.473004461472657","0.067059312255805","-1.47325655074409","0.140684166478357"
"17","16p12.1_BP1_BP2_DEL","male","-0.0509223122162979","0.0519146852256396","-0.152675095258551","0.0508304708259557","-0.98088454153139","0.326651683925895"
"18","16p12.1_BP1_BP2_DEL","female","-0.118877876172681","0.0567949882259659","-0.230196053095574","-0.00755969924978787","-2.09310504123552","0.0363416110073002"
"19","16p12.1_BP1_BP2_DUP","male","0.347761264066946","0.166684424568843","0.0210597919120126","0.674462736221879","2.0863452897083","0.0369494896213724"
"20","16p12.1_BP1_BP2_DUP","female","0.297776202029982","0.183046228801399","-0.0609944064207598","0.656546810480724","1.62678140915464","0.103785828535671"
"21","16p12.1_BP2_BP3_DEL","male","0.103907197446646","0.0927242303399124","-0.0778322940195823","0.285646688912874","1.12060458270442","0.26245848445"
"22","16p12.1_BP2_BP3_DEL","female","0.475590872120055","0.101788278940985","0.276085845395723","0.675095898844386","4.67235399859538","2.98049240997895e-06"
"23","16p12.1_BP2_BP3_DUP","male","-0.0129598751395639","0.102093331781608","-0.213062805431515","0.187143055152387","-0.126941445767359","0.898986958363491"
"24","16p12.1_BP2_BP3_DUP","female","-0.178948468073229","0.117887079300348","-0.410007143501911","0.0521102073554524","-1.51796506568215","0.129025510401031"
